Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
2023-05-02,394.0,1386.0,527.5,5,2,0,0,0.0,133.5,0.0,926.0,115.0,60.0,300.0,527.0,266.0,0,1,0,0,0,0,0
2023-05-03,0.0,1760.0,515.0,5,3,0,0,394.0,0.0,0.0,527.5,371.0,315.0,1386.0,0.0,101.0,0,0,1,0,0,0,0
2023-05-04,548.0,659.0,511.0,5,4,0,0,0.0,230.0,0.0,515.0,115.0,116.0,1760.0,1201.5,160.0,0,0,0,1,0,0,0
2023-05-05,992.0,565.0,313.0,5,5,1,0,548.0,138.0,0.0,511.0,706.0,277.0,659.0,462.0,474.0,0,0,0,0,1,0,0
2023-05-06,330.0,220.0,506.0,5,6,1,0,992.0,78.5,0.0,313.0,495.0,0.0,565.0,499.0,174.0,0,0,0,0,0,1,0
2023-05-07,85.0,47.0,811.0,5,7,0,0,330.0,210.0,0.0,506.0,802.0,120.0,220.0,329.0,1259.0,0,0,0,0,0,0,1
2023-05-08,515.0,163.0,52.0,5,8,0,0,85.0,0.0,0.0,811.0,926.0,354.0,47.0,300.0,425.0,1,0,0,0,0,0,0
2023-05-09,210.0,874.0,60.0,5,9,0,0,515.0,394.0,0.0,52.0,527.5,19.0,163.0,1386.0,856.5,0,1,0,0,0,0,0
2023-05-10,0.0,701.7,24.0,5,10,0,0,210.0,0.0,0.0,60.0,515.0,76.0,874.0,1760.0,960.0,0,0,1,0,0,0,0
2023-05-11,0.0,1799.0,373.0,5,11,0,0,0.0,548.0,0.0,24.0,511.0,130.0,701.7,659.0,704.0,0,0,0,1,0,0,0
2023-05-12,18.0,322.0,480.0,5,12,1,0,0.0,992.0,0.0,373.0,313.0,75.0,1799.0,565.0,751.5,0,0,0,0,1,0,0
2023-05-13,138.0,369.0,600.0,5,13,1,0,18.0,330.0,0.0,480.0,506.0,73.0,322.0,220.0,1253.0,0,0,0,0,0,1,0
2023-05-14,27.0,1085.0,244.0,5,14,0,0,138.0,85.0,0.0,600.0,811.0,0.0,369.0,47.0,380.0,0,0,0,0,0,0,1
2023-05-15,0.0,396.0,222.0,5,15,0,0,27.0,515.0,0.0,244.0,52.0,243.0,1085.0,163.0,110.0,1,0,0,0,0,0,0
2023-05-16,0.0,1430.7,375.0,5,16,0,0,0.0,210.0,0.0,222.0,60.0,112.0,396.0,874.0,205.0,0,1,0,0,0,0,0
2023-05-17,0.0,648.0,219.0,5,17,0,0,0.0,0.0,0.0,375.0,24.0,250.0,1430.7,701.7,70.0,0,0,1,0,0,0,0
2023-05-18,0.0,761.0,631.0,5,18,0,0,0.0,0.0,0.0,219.0,373.0,0.0,648.0,1799.0,213.0,0,0,0,1,0,0,0
2023-05-19,238.0,558.0,434.0,5,19,1,0,0.0,18.0,0.0,631.0,480.0,156.0,761.0,322.0,433.0,0,0,0,0,1,0,0
2023-05-20,41.0,963.0,346.0,5,20,1,0,238.0,138.0,0.0,434.0,600.0,135.0,558.0,369.0,874.0,0,0,0,0,0,1,0
2023-05-21,55.0,810.5,119.5,5,21,0,0,41.0,27.0,322.5,346.0,244.0,342.5,963.0,1085.0,250.0,0,0,0,0,0,0,1
