Date,BreakFast,Dinner,Lunch,Month,Day,DayOfWeek,IsWeekend,IsHoliday,TotalRevenue,lag_1d,lag_1w,lag_1m,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m
2023-05-14,522.0,2310.0,630.9,5,14,6,0,0,3462.9,3589.5,3881.5,1704.75,303.0,702.5,557.0,619.0,108.0,711.75,2667.5,3071.0,436.0
2023-05-15,1574.0,2294.9,364.0,5,15,0,0,0,4232.9,3462.9,5177.5,2002.0,522.0,1199.0,580.0,630.9,316.0,85.0,2310.0,3662.5,1337.0
2023-05-16,322.9,4976.0,616.0,5,16,1,0,0,5914.9,4232.9,4392.0,2320.5,1574.0,244.0,251.0,364.0,899.0,140.0,2294.9,3249.0,1929.5
2023-05-17,1451.0,2361.0,472.0,5,17,2,0,0,4284.0,5914.9,3446.5,2210.0,322.9,362.0,436.0,616.0,420.0,599.0,4976.0,2664.5,1175.0
2023-05-18,114.0,2945.5,190.0,5,18,3,0,0,3249.5,4284.0,3615.0,2441.5,1451.0,648.0,364.0,472.0,626.0,234.0,2361.0,2341.0,1843.5
2023-05-19,746.0,1102.5,598.0,5,19,4,1,0,2446.5,3249.5,3670.0,2519.0,114.0,812.0,324.0,190.0,353.0,415.0,2945.5,2505.0,1780.0
2023-05-20,635.0,1838.0,750.0,5,20,5,1,0,3223.0,2446.5,3589.5,4078.0,746.0,303.0,753.0,598.0,619.0,235.0,1102.5,2667.5,3090.0
2023-05-21,154.0,1268.0,303.0,5,21,6,0,0,1725.0,3223.0,3462.9,2835.0,635.0,522.0,408.0,750.0,630.9,204.0,1838.0,2310.0,2223.0
2023-05-22,690.0,1920.0,739.0,5,22,0,0,0,3349.0,1725.0,4232.9,4162.0,154.0,1574.0,544.0,303.0,364.0,237.0,1268.0,2294.9,3381.0
2023-05-23,1289.0,2431.0,183.0,5,23,1,0,0,3903.0,3349.0,5914.9,3222.0,690.0,322.9,518.0,739.0,616.0,597.0,1920.0,4976.0,2107.0
2023-05-24,276.0,2028.0,641.0,5,24,2,0,0,2945.0,3903.0,4284.0,4841.0,1289.0,1451.0,1381.0,183.0,472.0,995.0,2431.0,2361.0,2465.0
2023-05-25,718.0,2135.0,575.0,5,25,3,0,0,3428.0,2945.0,3249.5,6967.25,276.0,114.0,1355.25,641.0,190.0,523.0,2028.0,2945.5,5089.0
2023-05-26,928.0,1703.0,40.0,5,26,4,1,0,2671.0,3428.0,2446.5,4172.0,718.0,746.0,492.0,575.0,598.0,740.0,2135.0,1102.5,2940.0
2023-05-27,409.0,1189.0,287.5,5,27,5,1,0,1885.5,2671.0,3223.0,7568.0,928.0,635.0,1340.0,40.0,750.0,1345.0,1703.0,1838.0,4883.0
2023-05-28,1116.0,1198.0,187.0,5,28,6,0,0,2501.0,1885.5,1725.0,4330.75,409.0,154.0,1238.75,287.5,303.0,264.0,1189.0,1268.0,2828.0
2023-05-29,366.0,1905.5,691.0,5,29,0,0,0,2962.5,2501.0,3349.0,4147.5,1116.0,690.0,1059.5,187.0,739.0,382.0,1198.0,1920.0,2706.0
2023-05-30,915.0,3977.5,796.0,5,30,1,0,0,5688.5,2962.5,3903.0,4341.0,366.0,1289.0,649.0,691.0,183.0,450.0,1905.5,2431.0,3242.0
2023-05-31,1055.0,1914.0,1110.0,5,31,2,0,0,4079.0,5688.5,2945.0,1719.0,915.0,276.0,497.0,796.0,641.0,40.0,3977.5,2028.0,1182.0
2023-06-01,827.0,3296.0,236.5,6,1,3,0,0,4359.5,4079.0,3428.0,3366.4,1055.0,718.0,247.9,1110.0,575.0,430.0,1914.0,2135.0,2688.5
2023-06-02,176.0,2026.0,782.0,6,2,4,1,0,2984.0,4359.5,2671.0,1911.9,827.0,928.0,477.9,236.5,40.0,55.0,3296.0,1703.0,1379.0
2023-06-03,682.0,1797.0,598.0,6,3,5,1,0,3077.0,2984.0,1885.5,4100.0,176.0,409.0,554.0,782.0,287.5,639.0,2026.0,1189.0,2907.0
2023-06-04,879.0,1697.5,960.0,6,4,6,0,0,3536.5,3077.0,2501.0,3117.75,682.0,1116.0,337.0,598.0,187.0,676.0,1797.0,1198.0,2104.75
2023-06-05,964.0,1434.0,377.0,6,5,0,0,0,2775.0,3536.5,2962.5,2677.5,879.0,366.0,981.0,960.0,691.0,743.0,1697.5,1905.5,953.5
2023-06-06,875.0,1905.0,632.0,6,6,1,0,0,3412.0,2775.0,5688.5,3881.5,964.0,915.0,702.5,377.0,796.0,108.0,1434.0,3977.5,3071.0
2023-06-07,406.0,3526.5,460.0,6,7,2,0,0,4392.5,3412.0,4079.0,5177.5,875.0,1055.0,1199.0,632.0,1110.0,316.0,1905.0,1914.0,3662.5
2023-06-08,372.0,3886.5,677.0,6,8,3,0,0,4935.5,4392.5,4359.5,4392.0,406.0,827.0,244.0,460.0,236.5,899.0,3526.5,3296.0,3249.0
2023-06-09,773.0,2106.0,552.0,6,9,4,1,0,3431.0,4935.5,2984.0,3446.5,372.0,176.0,362.0,677.0,782.0,420.0,3886.5,2026.0,2664.5
2023-06-10,147.0,2300.0,471.0,6,10,5,1,0,2918.0,3431.0,3077.0,3615.0,773.0,682.0,648.0,552.0,598.0,626.0,2106.0,1797.0,2341.0
2023-06-11,473.0,2043.0,592.0,6,11,6,0,0,3108.0,2918.0,3536.5,3670.0,147.0,879.0,812.0,471.0,960.0,353.0,2300.0,1697.5,2505.0
2023-06-12,466.0,1706.0,295.0,6,12,0,0,0,2467.0,3108.0,2775.0,3589.5,473.0,964.0,303.0,592.0,377.0,619.0,2043.0,1434.0,2667.5
2023-06-13,702.0,997.0,595.0,6,13,1,0,0,2294.0,2467.0,3412.0,3462.9,466.0,875.0,522.0,295.0,632.0,630.9,1706.0,1905.0,2310.0
2023-06-14,390.0,2069.5,770.0,6,14,2,0,0,3229.5,2294.0,4392.5,4232.9,702.0,406.0,1574.0,595.0,460.0,364.0,997.0,3526.5,2294.9
2023-06-15,276.0,2869.0,754.0,6,15,3,0,0,3899.0,3229.5,4935.5,5914.9,390.0,372.0,322.9,770.0,677.0,616.0,2069.5,3886.5,4976.0
2023-06-16,761.0,1999.5,723.0,6,16,4,1,0,3483.5,3899.0,3431.0,4284.0,276.0,773.0,1451.0,754.0,552.0,472.0,2869.0,2106.0,2361.0
2023-06-17,518.0,2233.0,40.0,6,17,5,1,0,2791.0,3483.5,2918.0,3249.5,761.0,147.0,114.0,723.0,471.0,190.0,1999.5,2300.0,2945.5
2023-06-18,160.0,2529.0,877.0,6,18,6,0,0,3566.0,2791.0,3108.0,2446.5,518.0,473.0,746.0,40.0,592.0,598.0,2233.0,2043.0,1102.5
2023-06-19,774.5,1401.5,259.5,6,19,0,0,0,2435.5,3566.0,2467.0,3223.0,160.0,466.0,635.0,877.0,295.0,750.0,2529.0,1706.0,1838.0
2023-06-20,5.0,1322.4,498.0,6,20,1,0,1,1825.4,2435.5,2294.0,1725.0,774.5,702.0,154.0,259.5,595.0,303.0,1401.5,997.0,1268.0
2023-06-21,596.0,1214.5,849.0,6,21,2,0,0,2659.5,1825.4,3229.5,3349.0,5.0,390.0,690.0,498.0,770.0,739.0,1322.4,2069.5,1920.0
2023-06-22,468.9,1695.5,1073.0,6,22,3,0,0,3237.4,2659.5,3899.0,3903.0,596.0,276.0,1289.0,849.0,754.0,183.0,1214.5,2869.0,2431.0
2023-06-23,530.0,1375.5,919.0,6,23,4,1,0,2824.5,3237.4,3483.5,2945.0,468.9,761.0,276.0,1073.0,723.0,641.0,1695.5,1999.5,2028.0
2023-06-24,995.0,1596.0,949.0,6,24,5,1,0,3540.0,2824.5,2791.0,3428.0,530.0,518.0,718.0,919.0,40.0,575.0,1375.5,2233.0,2135.0
2023-06-25,1066.0,2123.0,565.0,6,25,6,0,0,3754.0,3540.0,3566.0,2671.0,995.0,160.0,928.0,949.0,877.0,40.0,1596.0,2529.0,1703.0
2023-06-26,716.0,3030.7,1049.0,6,26,0,0,0,4795.7,3754.0,2435.5,1885.5,1066.0,774.5,409.0,565.0,259.5,287.5,2123.0,1401.5,1189.0
