Date,RevenueCenterName,Month,DayOfWeek,IsWeekend,IsHoliday,BreakFast,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m
2023-10-01,RevenueCenter_1,10,6,0,0,2143.0,1058.0,1256.0,552.0
2023-10-02,RevenueCenter_1,10,0,0,0,125.0,2143.0,1923.4,1027.0
2023-10-03,RevenueCenter_1,10,1,0,0,263.0,125.0,132.0,569.0
2023-10-04,RevenueCenter_1,10,2,0,0,258.0,263.0,260.0,364.0
2023-10-05,RevenueCenter_1,10,3,0,0,472.0,258.0,1227.4,219.0
2023-10-06,RevenueCenter_1,10,4,1,0,420.0,472.0,506.0,484.0
2023-10-07,RevenueCenter_1,10,5,1,0,238.0,420.0,1058.0,502.0
2023-10-08,RevenueCenter_1,10,6,0,0,505.0,238.0,2143.0,917.0
2023-10-09,RevenueCenter_1,10,0,0,0,257.8,505.0,125.0,527.0
2023-10-10,RevenueCenter_1,10,1,0,0,168.0,257.8,263.0,724.0
2023-10-11,RevenueCenter_1,10,2,0,0,204.9,168.0,258.0,1720.5
2023-10-12,RevenueCenter_1,10,3,0,0,668.0,204.9,472.0,1088.5
2023-10-13,RevenueCenter_1,10,4,1,0,511.4,668.0,420.0,96.0
2023-10-14,RevenueCenter_1,10,5,1,0,748.3,511.4,238.0,807.6
2023-10-15,RevenueCenter_1,10,6,0,0,1317.3,748.3,505.0,862.0
2023-10-16,RevenueCenter_1,10,0,0,0,365.3,1317.3,257.8,997.0
2023-10-17,RevenueCenter_1,10,1,0,0,328.0,365.3,168.0,633.5
2023-10-18,RevenueCenter_1,10,2,0,0,809.0,328.0,204.9,1110.0
2023-10-19,RevenueCenter_1,10,3,0,0,734.0,809.0,668.0,345.0
2023-10-20,RevenueCenter_1,10,4,1,0,411.0,734.0,511.4,1576.0
2023-10-21,RevenueCenter_1,10,5,1,0,1157.0,411.0,748.3,168.0
2023-10-22,RevenueCenter_1,10,6,0,0,405.0,1157.0,1317.3,640.9
2023-10-23,RevenueCenter_1,10,0,0,0,255.0,405.0,365.3,2310.46
2023-10-24,RevenueCenter_1,10,1,0,0,592.0,255.0,328.0,1256.0
2023-10-25,RevenueCenter_1,10,2,0,0,242.0,592.0,809.0,1923.4
2023-10-26,RevenueCenter_1,10,3,0,0,20.0,242.0,734.0,132.0
2023-10-27,RevenueCenter_1,10,4,1,0,575.0,20.0,411.0,260.0
2023-10-28,RevenueCenter_1,10,5,1,0,454.0,575.0,1157.0,1227.4
2023-10-29,RevenueCenter_1,10,6,0,0,500.0,454.0,405.0,506.0
2023-10-30,RevenueCenter_1,10,0,0,0,296.0,500.0,255.0,1058.0
2023-10-31,RevenueCenter_1,10,1,0,0,377.5,296.0,592.0,2143.0
2023-11-01,RevenueCenter_1,11,2,0,0,274.0,377.5,242.0,125.0
2023-11-02,RevenueCenter_1,11,3,0,0,678.0,274.0,20.0,263.0
2023-11-03,RevenueCenter_1,11,4,1,0,987.0,678.0,575.0,258.0
