Date,RevenueCenterName,Month,DayOfWeek,IsWeekend,IsHoliday,Lunch,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m
2023-08-08,RevenueCenter_1,8,1,0,0,745.0,552.0,319.0,855.0
2023-08-09,RevenueCenter_1,8,2,0,0,585.0,745.0,380.0,618.0
2023-08-10,RevenueCenter_1,8,3,0,0,685.0,585.0,429.5,853.0
2023-08-11,RevenueCenter_1,8,4,1,0,523.0,685.0,1962.0,290.0
2023-08-12,RevenueCenter_1,8,5,1,0,796.0,523.0,90.0,745.0
2023-08-13,RevenueCenter_1,8,6,0,0,320.0,796.0,402.0,764.0
2023-08-14,RevenueCenter_1,8,0,0,0,610.0,320.0,552.0,279.5
2023-08-15,RevenueCenter_1,8,1,0,0,1300.0,610.0,745.0,217.0
2023-08-16,RevenueCenter_1,8,2,0,0,667.0,1300.0,585.0,720.0
2023-08-17,RevenueCenter_1,8,3,0,0,915.0,667.0,685.0,627.5
2023-08-18,RevenueCenter_1,8,4,1,0,575.0,915.0,523.0,1624.0
2023-08-19,RevenueCenter_1,8,5,1,0,0.0,575.0,796.0,648.0
2023-08-20,RevenueCenter_1,8,6,0,0,160.0,0.0,320.0,929.0
2023-08-21,RevenueCenter_1,8,0,0,0,939.0,160.0,610.0,781.0
2023-08-22,RevenueCenter_1,8,1,0,0,135.0,939.0,1300.0,1525.0
2023-08-23,RevenueCenter_1,8,2,0,0,505.0,135.0,667.0,1319.0
2023-08-24,RevenueCenter_1,8,3,0,0,43.0,505.0,915.0,176.0
2023-08-25,RevenueCenter_1,8,4,1,0,589.5,43.0,575.0,1175.5
2023-08-26,RevenueCenter_1,8,5,1,0,542.0,589.5,0.0,760.0
2023-08-27,RevenueCenter_1,8,6,0,0,880.0,542.0,160.0,85.5
2023-08-28,RevenueCenter_1,8,0,0,0,1177.0,880.0,939.0,915.0
2023-08-29,RevenueCenter_1,8,1,0,0,201.0,1177.0,135.0,1241.0
2023-08-30,RevenueCenter_1,8,2,0,0,90.0,201.0,505.0,1114.0
2023-08-31,RevenueCenter_1,8,3,0,0,856.0,90.0,43.0,319.0
2023-09-01,RevenueCenter_1,9,4,1,0,240.0,856.0,589.5,380.0
2023-09-02,RevenueCenter_1,9,5,1,0,1377.0,240.0,542.0,429.5
2023-09-03,RevenueCenter_1,9,6,0,0,205.0,1377.0,880.0,1962.0
2023-09-04,RevenueCenter_1,9,0,0,0,360.0,205.0,1177.0,90.0
2023-09-05,RevenueCenter_1,9,1,0,0,122.0,360.0,201.0,402.0
2023-09-06,RevenueCenter_1,9,2,0,0,180.0,122.0,90.0,552.0
2023-09-07,RevenueCenter_1,9,3,0,0,355.0,180.0,856.0,745.0
2023-09-08,RevenueCenter_1,9,4,1,0,495.0,355.0,240.0,585.0
2023-09-09,RevenueCenter_1,9,5,1,0,267.0,495.0,1377.0,685.0
